Manager,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
John,41,77,116,157,200,236,236,284,351,405,456,488,506,551,607,644,700,732,779,817,872,907,962,1013,1117,1162,1233,1287,1356,1402,1460,1501,1523,1586,1631,1694,1751,1813
Joe,28,60,118,196,228,268,268,311,350,389,444,496,542,576,625,679,738,778,840,887,927,972,1033,1084,1144,1184,1255,1281,1353,1391,1423,1455,1499,1576,1607,1679,1751,1801
Jack,52,129,175,219,249,314,314,359,382,433,470,492,537,601,623,696,754,801,849,904,942,986,1043,1083,1114,1154,1211,1258,1345,1391,1423,1455,1509,1566,1599,1625,1684,1705
Sam,47,103,147,201,263,297,297,348,392,445,492,508,549,597,636,667,726,761,809,845,900,951,981,1009,1070,1103,1151,1170,1240,1283,1316,1341,1395,1453,1474,1525,1574,1607
Rory,50,69,102,135,163,195,195,225,260,303,329,385,409,450,497,548,580,625,671,739,769,800,849,890,951,1012,1079,1111,1167,1205,1261,1298,1336,1419,1445,1512,1563,1600
Tom,43,77,124,172,210,252,252,258,282,315,365,403,442,507,543,568,614,646,684,739,781,839,879,916,944,981,1034,1053,1110,1131,1183,1223,1265,1335,1373,1463,1501,1543
